"customer_city","customer_state","total_sales"
"agua boa","MT","513905.58"
"cataguases","MG","510504.63"
"torres","RS","507829.64"
"rolandia","PR","506984.05"
"sao mateus","ES","505389.44"
"dourados","MS","501218.64"
"bombinhas","SC","500250.10"
"itaborai","RJ","496695.51"
"guacui","ES","495851.25"
"nossa senhora do socorro","SE","494482.56"
"aguai","SP","494460.15"
"juazeiro","BA","494282.63"
"visconde do rio branco","MG","493802.70"
"maracaju","MS","491569.40"
"camaqua","RS","490970.02"
"alvares machado","SP","490380.72"
"camacari","BA","484587.51"
"caruaru","PE","480674.23"
"lagoa da prata","MG","480587.90"
"formosa","GO","479089.81"
"campos novos","SC","477920.52"
"coromandel","MG","476030.31"
"conchal","SP","470792.08"
"cruzeiro","SP","469766.49"
"estrela","RS","465064.20"
"palmital","SP","462602.54"
"boa vista","RR","461906.99"
"icara","SC","461845.80"
"sao mateus do sul","PR","461473.04"
"aruja","SP","461174.82"
"bambui","MG","460562.40"
"caxambu","MG","458175.84"
"penha","SC","456172.32"
"nova andradina","MS","454959.00"
"gaspar","SC","454822.59"
"paulo afonso","BA","453922.31"
"palmas","PR","453104.64"
"guanhaes","MG","451181.25"
"taquarituba","SP","450217.80"
"igarape","MG","449296.24"
"sao joao da barra","RJ","448467.36"
"monte siao","MG","444298.20"
"itaguai","RJ","443478.46"
"araucaria","PR","438911.48"
"charqueadas","RS","433504.08"
"ibirite","MG","431754.85"
"sapucaia do sul","RS","431261.40"
"americo brasiliense","SP","430222.40"
"quissama","RJ","430198.60"
"guaratuba","PR","429687.03"
"nova xavantina","MT","428657.04"
"imbe","RS","428582.46"
"alegre","ES","427716.31"
"jequie","BA","427293.91"
"marialva","PR","426757.74"
"santa rita do passa quatro","SP","426410.36"
"santo antonio de jesus","BA","426212.06"
"jacutinga","MG","423392.40"
"ituporanga","SC","422469.50"
"caico","RN","417990.30"
"rio negro","PR","417921.79"
"navirai","MS","416383.20"
"encantado","RS","415538.50"
"viamao","RS","415150.13"
"quata","SP","414235.75"
"cristalina","GO","414139.18"
"cajati","SP","413835.93"
"campo formoso","BA","413542.68"
"espera feliz","MG","412656.20"
"russas","CE","411388.26"
"macatuba","SP","410841.55"
"cachoeiras de macacu","RJ","410275.76"
"castilho","SP","409998.75"
"taiobeiras","MG","409701.60"
"iturama","MG","408687.84"
"pitangueiras","SP","408456.00"
"cunha","SP","408116.48"
"santa vitoria do palmar","RS","407884.33"
"queimados","RJ","406367.93"
"esmeraldas","MG","404561.52"
"franco da rocha","SP","403309.10"
"aparecida de goiania","GO","402659.93"
"santa rosa","RS","399515.43"
"miracema","RJ","398328.09"
"jacarezinho","PR","396400.80"
"salgueiro","PE","395817.50"
"mococa","SP","394728.35"
"jardinopolis","SP","394365.24"
"tres rios","RJ","391481.08"
"jales","SP","389893.91"
"santo antonio do monte","MG","389009.04"
"bonfim paulista","SP","387623.12"
"paraisopolis","MG","385155.54"
"morro agudo","SP","385108.34"
"sapiranga","RS","384173.47"
"lagoa vermelha","RS","384140.16"
"pompeia","SP","383001.50"
"santo amaro da imperatriz","SC","379045.75"
"goiatuba","GO","376033.04"
"quirinopolis","GO","375858.00"
"ipora","GO","373281.32"
"altamira","PA","372763.09"
"sao bento do sul","SC","371868.92"
"vargem grande do sul","SP","371291.90"
"cicero dantas","BA","369917.82"
"sao lourenco do sul","RS","367972.50"
"lapa","PR","367576.45"
"pontes e lacerda","MT","366959.40"
"bom jesus dos perdoes","SP","366771.68"
"indaial","SC","365943.25"
"boa esperanca","MG","364414.00"
"dom pedrito","RS","362115.08"
"serrinha","BA","359832.00"
"aracati","CE","359625.00"
"santo anastacio","SP","358452.80"
"mandaguacu","PR","357351.90"
"pinheiral","RJ","356642.58"
"varzea da palma","MG","356381.62"
"nova granada","SP","354449.15"
"pomerode","SC","352319.80"
"santa rosa de viterbo","SP","351947.97"
"santana do livramento","RS","351924.45"
"sobral","CE","351415.23"
"sabara","MG","349549.75"
"araguaina","TO","347404.65"
"itaocara","RJ","347225.00"
"manhumirim","MG","346556.19"
"alagoinhas","BA","344053.74"
"iguape","SP","344037.60"
"pirapora do bom jesus","SP","343564.48"
"castelo","ES","342441.68"
"conceicao de macabu","RJ","339873.39"
"itamaraju","BA","338997.60"
"espinosa","MG","338955.60"
"seropedica","RJ","337482.64"
"itanhandu","MG","336881.52"
"ipero","SP","335698.20"
"candido mota","SP","335634.40"
"alvorada","RS","335548.24"
"paty do alferes","RJ","335104.59"
"jose bonifacio","SP","335052.93"
"santa maria de jetiba","ES","334659.00"
"biguacu","SC","333887.26"
"ibotirama","BA","333019.60"
"parobe","RS","331506.69"
"bastos","SP","331440.12"
