"seller_id","total_sales","cnt_approved_order"
"1da366cade6d8276e7d8beea7af5d4bf","8673.73","49"
"1127b7f2594683f2510f1c2c834a486b","8673.04","132"
"ececbfcff9804a2d6b40f589df8eef2b","8661.06","104"
"397c4d0c005b6f41f90098ac724e28cb","8622.37","5"
"bbf9ad41dca6603e614efcdad7aab8c4","8622.26","14"
"2c9e548be18521d1c43cde1c582c6de8","8603.05","174"
"3bb548e3cb7f70f28e3f11ee9dce0e59","8586.81","53"
"058fd0aa2bfdb2274e05e1ae971dabb6","8555.80","64"
"a420f60ff1aa9acc80d0e42959f2b313","8543.27","69"
"cc63f0dd2acba93ffed4fe9f8e0321fa","8496.68","63"
"67883baaae6134ee81b271a542613728","8496.02","19"
"52f976b17ea7f2f087f56dcc419328f6","8492.65","6"
"42bde9fef835393bb8a8849cb6b7f245","8487.84","40"
"86bb7c4b535e49a541baf3266b1c95b1","8487.22","16"
"8fb791022c1fc8909664f48ab7dc636d","8483.35","5"
"d51e0a403fe2e689ece6c73359d96e12","8463.02","26"
"4aba391bc3b88717ce08eb11e44937b2","8435.21","30"
"282f23a9769b2690c5dda22e316f9941","8386.96","110"
"6a51fc556dab5f766ced6fbc860bc613","8370.25","33"
"6bd69102ab48df500790a8cecfc285c2","8359.02","5"
"381c83fdca332ea6afd896da20bf6e4a","8355.01","46"
"e2aee0892199b1d92530e371abd825bf","8317.29","41"
"aced59e9b31ef866a94f9e7f29d8d418","8315.80","67"
"c26a2be5b53b7db6b276280da212a779","8288.85","18"
"54065e9aef7e9e9c2dc23b7594db021a","8283.43","14"
"34056b8b55c1775a22af2331670a799c","8229.89","78"
"6a8b085f816a1f75f92dbac6eb545f8f","8196.96","135"
"dbdd0ec73a4817971d962698f2fea022","8174.80","16"
"e0a366315b1b726b6c7832d664c0f530","8145.17","51"
"cee48807215b30a12ca2ca10ffb5f250","8125.52","40"
"b14db04aa7881970e83ffa9426897925","8123.95","111"
"7bac63f6603d382cc8d0832eb6c100a8","8114.60","19"
"8476243f92442881ddd5b578975cf115","8113.03","12"
"516e7738bd8f735ac19a010ee5450d8d","8109.32","84"
"b347677812ea483b0f528eaf8cbc09b7","8051.34","21"
"670c26e0f1bf8d0576271d5cfaec6d2b","8035.63","87"
"d13e50eaa47b4cbe9eb81465865d8cfc","8012.84","69"
"11305281b50fff20ae8bb473f8e11876","7973.21","40"
"dee656f0f566ed1aa85bd137c943f08f","7968.67","95"
"f84a00e60c73a49e7e851c9bdca3a5bb","7951.76","99"
"6fa9202c10491e472dffd59a3e82b2a3","7939.25","3"
